username,anime_id,anime_title,status,score,num_episodes_watched,updated_at
SheepCommander,32664,Bananya,completed,7,13,2023-03-12T02:28:05+00:00
SheepCommander,40228,Bananya: Fushigi na Nakama-tachi,completed,7,13,2023-03-12T02:28:09+00:00
SheepCommander,43353,Bear Bear Bear Kuma!,completed,7,12,2023-04-12T00:52:18+00:00
SheepCommander,47917,Bocchi the Rock!,completed,10,12,2023-03-17T22:38:47+00:00
SheepCommander,5114,Fullmetal Alchemist: Brotherhood,completed,10,64,2023-03-12T02:30:06+00:00
SheepCommander,7472,Gintama Movie 1: Shinyaku Benizakura-hen,completed,6,1,2023-03-17T23:08:20+00:00
SheepCommander,43692,Gokushufudou,completed,8,5,2023-03-17T23:08:05+00:00
SheepCommander,48128,Haidi Xiao Zongdui: Huoyan Zhi Huan,completed,9,1,2023-03-17T23:08:08+00:00
SheepCommander,37517,Happy Sugar Life,completed,10,12,2023-03-17T09:07:09+00:00
SheepCommander,40748,Jujutsu Kaisen,completed,10,24,2023-03-17T23:08:03+00:00
SheepCommander,40221,Kami no Tou,completed,7,13,2023-03-17T23:07:59+00:00
SheepCommander,32686,Keijo!!!!!!!!,completed,6,12,2023-03-17T22:40:39+00:00
SheepCommander,34884,Keijo!!!!!!!! Specials,completed,6,6,2023-03-17T22:40:56+00:00
SheepCommander,48926,"Komi-san wa, Comyushou desu.",completed,6,12,2023-03-12T02:09:03+00:00
SheepCommander,40974,Kuma Kuma Kuma Bear,completed,9,12,2023-04-12T00:52:01+00:00
SheepCommander,45486,Kuma Kuma Kuma Bear Punch!,completed,9,12,2023-11-06T03:55:01+00:00
SheepCommander,1887,Lucky☆Star,completed,9,24,2023-03-12T02:12:43+00:00
SheepCommander,40571,Majo no Tabitabi,completed,10,12,2023-10-01T04:37:01+00:00
SheepCommander,39535,Mushoku Tensei: Isekai Ittara Honki Dasu,completed,7,11,2023-03-17T23:07:53+00:00
SheepCommander,23755,Nanatsu no Taizai,completed,7,24,2023-03-12T02:02:47+00:00
SheepCommander,31722,Nanatsu no Taizai: Seisen no Shirushi,completed,7,4,2023-03-17T22:41:43+00:00
SheepCommander,30276,One Punch Man,completed,8,12,2023-03-12T02:27:06+00:00
SheepCommander,51678,Oniichan wa Oshimai!,completed,10,12,2023-11-06T04:06:49+00:00
SheepCommander,40834,Ousama Ranking,completed,10,23,2023-03-17T23:07:44+00:00
SheepCommander,29803,Overlord,completed,8,13,2023-03-17T23:07:34+00:00
SheepCommander,35073,Overlord II,completed,8,13,2023-03-17T23:07:36+00:00
SheepCommander,37675,Overlord III,completed,7,13,2023-03-17T23:07:39+00:00
SheepCommander,48895,Overlord IV,completed,1,13,2023-11-06T04:05:32+00:00
SheepCommander,31592,Pokemon XY&Z,completed,9,47,2023-03-17T23:07:26+00:00
SheepCommander,35330,Poputepipikku,completed,8,12,2023-03-17T23:07:22+00:00
SheepCommander,20047,Sakura Trick,completed,8,12,2023-03-12T01:09:15+00:00
SheepCommander,47790,"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru",completed,9,12,2023-03-17T23:07:18+00:00
SheepCommander,46985,Shinka no Mi: Shiranai Uchi ni Kachigumi Jinsei,completed,7,12,2023-03-12T02:56:31+00:00
SheepCommander,28171,Shokugeki no Souma,completed,7,24,2023-03-17T23:06:52+00:00
SheepCommander,32282,Shokugeki no Souma: Ni no Sara,completed,7,13,2023-03-17T23:06:36+00:00
SheepCommander,36949,Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen,completed,7,12,2023-03-17T23:06:38+00:00
SheepCommander,50265,Spy x Family,completed,9,12,2023-03-17T23:05:52+00:00
SheepCommander,50602,Spy x Family Part 2,completed,9,13,2023-04-12T00:51:15+00:00
SheepCommander,855,Strawberry Panic,completed,7,26,2023-03-12T02:21:12+00:00
SheepCommander,36475,Sword Art Online Alternative: Gun Gale Online,completed,7,12,2023-03-12T02:02:56+00:00
SheepCommander,37779,Yakusoku no Neverland,completed,8,12,2023-03-17T23:05:49+00:00
request,7669,"""Bungaku Shoujo"" Kyou no Oyatsu: Hatsukoi",completed,6,1,2010-02-02T12:11:05+00:00
request,6408,"""Bungaku Shoujo"" Movie",completed,7,1,2012-12-07T15:41:23+00:00
request,3269,.hack//G.U. Trilogy,completed,4,1,2008-07-05T23:38:41+00:00
request,3914,1001 Nights,completed,4,1,2008-07-05T23:31:56+00:00
request,3685,4-Day Weekend,completed,6,1,2009-05-01T10:55:11+00:00
