username,anime_id,anime_title,status,score,num_episodes_watched,updated_at,user_id,time_diff
Aizycran,2418,Stranger: Mukou Hadan,completed,10,1,2011-04-14 17:19:41+00:00,573,0 days 00:05:30
Aizycran,2246,Mononoke,completed,10,12,2011-04-14 19:15:34+00:00,573,0 days 01:55:53
Aizycran,5365,Tsumiki no Ie,completed,10,1,2011-04-14 19:15:57+00:00,573,0 days 00:00:23
Aizycran,6746,Durarara!!,completed,9,24,2011-04-15 19:16:52+00:00,573,0 days 23:56:19
Aizycran,32,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",completed,9,1,2011-04-15 19:17:13+00:00,573,0 days 00:00:21
Aizycran,8129,Kuragehime,completed,9,11,2011-04-15 19:19:00+00:00,573,0 days 00:00:38
Aizycran,853,Ouran Koukou Host Club,completed,9,26,2011-04-15 19:20:47+00:00,573,0 days 00:01:47
Aizycran,2001,Tengen Toppa Gurren Lagann,completed,8,27,2011-04-15 19:24:37+00:00,573,0 days 00:02:45
Aizycran,3470,Special A,completed,8,24,2011-04-15 19:27:38+00:00,573,0 days 00:03:01
Aizycran,486,Kino no Tabi: The Beautiful World,completed,8,13,2011-04-15 19:36:21+00:00,573,0 days 00:00:11
Aizycran,6594,Katanagatari,completed,8,12,2011-04-15 19:38:17+00:00,573,0 days 00:01:26
Aizycran,6811,InuYasha: Kanketsu-hen,completed,8,26,2011-04-15 19:38:59+00:00,573,0 days 00:00:42
Aizycran,249,InuYasha,completed,8,167,2011-04-15 19:39:22+00:00,573,0 days 00:00:23
Aizycran,5114,Fullmetal Alchemist: Brotherhood,completed,8,64,2011-04-15 19:43:23+00:00,573,0 days 00:04:01
Aizycran,2025,Darker than Black: Kuro no Keiyakusha,completed,8,25,2011-04-15 19:49:47+00:00,573,0 days 00:06:24
Aizycran,3228,Zoku Sayonara Zetsubou Sensei,completed,7,13,2011-04-16 17:01:08+00:00,573,0 days 21:11:02
Aizycran,6512,Nyan Koi!,completed,7,12,2011-04-16 17:06:14+00:00,573,0 days 00:00:52
Aizycran,2966,Ookami to Koushinryou,completed,7,13,2011-04-16 17:10:31+00:00,573,0 days 00:04:17
Aizycran,1889,Higurashi no Naku Koro ni Kai,completed,7,24,2011-04-16 18:30:44+00:00,573,0 days 01:20:13
Aizycran,5205,Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),completed,7,1,2011-04-16 19:42:21+00:00,573,0 days 00:00:14
Aizycran,5204,Kara no Kyoukai Movie 6: Boukyaku Rokuon,completed,7,1,2011-04-16 19:42:31+00:00,573,0 days 00:00:10
Aizycran,4282,Kara no Kyoukai Movie 5: Mujun Rasen,completed,7,1,2011-04-16 19:42:45+00:00,573,0 days 00:00:14
Aizycran,4280,Kara no Kyoukai Movie 4: Garan no Dou,completed,7,1,2011-04-16 19:42:57+00:00,573,0 days 00:00:12
Aizycran,3783,Kara no Kyoukai Movie 3: Tsuukaku Zanryuu,completed,7,1,2011-04-16 19:43:06+00:00,573,0 days 00:00:09
Aizycran,3782,Kara no Kyoukai Movie 2: Satsujin Kousatsu (Zen),completed,7,1,2011-04-16 19:43:16+00:00,573,0 days 00:00:10
Aizycran,2593,Kara no Kyoukai Movie 1: Fukan Fuukei,completed,7,1,2011-04-16 19:43:27+00:00,573,0 days 00:00:11
Aizycran,2787,Shakugan no Shana II (Second),completed,7,24,2011-04-16 19:43:51+00:00,573,0 days 00:00:24
Aizycran,4722,Skip Beat!,completed,7,25,2011-04-16 19:44:30+00:00,573,0 days 00:00:39
Aizycran,3588,Soul Eater,completed,7,51,2011-04-16 19:44:51+00:00,573,0 days 00:00:21
Aizycran,4654,Toaru Majutsu no Index,completed,7,24,2011-04-16 19:46:07+00:00,573,0 days 00:01:16
Aizycran,530,Bishoujo Senshi Sailor Moon,completed,6,46,2011-04-19 19:37:37+00:00,573,2 days 23:51:30
Aizycran,3457,Vampire Knight,completed,6,13,2011-04-19 19:38:00+00:00,573,0 days 00:00:23
Aizycran,4752,Vampire Knight Guilty,completed,6,13,2011-04-19 19:38:28+00:00,573,0 days 00:00:28
Aizycran,740,Bishoujo Senshi Sailor Moon R,completed,6,43,2011-04-19 21:08:31+00:00,573,0 days 01:30:03
Aizycran,532,Bishoujo Senshi Sailor Moon S,completed,6,38,2011-04-19 21:08:42+00:00,573,0 days 00:00:11
Aizycran,527,Pokemon,completed,6,276,2011-04-19 21:09:56+00:00,573,0 days 00:01:14
Aizycran,813,Dragon Ball Z,completed,6,291,2011-04-21 11:13:05+00:00,573,0 days 00:03:22
Aizycran,8937,Toaru Majutsu no Index II,completed,6,24,2011-04-21 11:27:41+00:00,573,0 days 00:02:28
Aizycran,528,Pokemon Movie 01: Mewtwo no Gyakushuu,completed,6,1,2011-04-21 11:34:52+00:00,573,0 days 00:07:11
Aizycran,199,Sen to Chihiro no Kamikakushi,completed,8,1,2011-04-30 21:31:38+00:00,573,9 days 09:51:20
Aizycran,2236,Toki wo Kakeru Shoujo,completed,8,1,2011-04-30 21:31:55+00:00,573,0 days 00:00:17
Aizycran,9756,Mahou Shoujo Madoka★Magica,completed,7,12,2011-06-19 19:59:20+00:00,573,0 days 23:41:05
Aizycran,1559,Shijou Saikyou no Deshi Kenichi,completed,8,50,2011-08-18 13:06:11+00:00,573,30 days 18:22:35
Aizycran,2904,Code Geass: Hangyaku no Lelouch R2,completed,8,25,2011-08-18 19:49:15+00:00,573,0 days 06:43:04
Aizycran,2034,Lovely★Complex,completed,9,24,2011-10-31 08:41:08+00:00,573,73 days 12:51:53
Aizycran,228,Jigoku Shoujo,completed,7,26,2011-12-25 13:33:18+00:00,573,55 days 04:52:10
Aizycran,1594,Jigoku Shoujo Futakomori,completed,8,26,2011-12-28 16:26:51+00:00,573,3 days 02:53:33
Aizycran,877,Nana,completed,10,47,2012-01-30 20:08:24+00:00,573,33 days 03:41:26
Aizycran,4814,Junjou Romantica 2,completed,10,12,2012-01-30 20:09:08+00:00,573,0 days 00:00:44
Aizycran,1482,D.Gray-man,completed,10,103,2012-01-30 20:10:35+00:00,573,0 days 00:01:27
Aizycran,154,Shaman King,completed,10,64,2012-01-30 20:12:23+00:00,573,0 days 00:01:48
Aizycran,2026,Hayate no Gotoku!,completed,9,52,2012-01-30 20:12:46+00:00,573,0 days 00:00:23
Aizycran,1535,Death Note,completed,8,37,2012-01-30 20:14:08+00:00,573,0 days 00:01:22
Aizycran,1575,Code Geass: Hangyaku no Lelouch,completed,8,25,2012-01-30 20:14:57+00:00,573,0 days 00:00:49
Aizycran,2605,Sayonara Zetsubou Sensei,completed,8,12,2012-01-30 20:15:12+00:00,573,0 days 00:00:15
Aizycran,243,Gravitation,completed,8,13,2012-01-30 20:15:44+00:00,573,0 days 00:00:15
Aizycran,226,Elfen Lied,completed,8,13,2012-01-30 20:16:00+00:00,573,0 days 00:00:16
Aizycran,121,Fullmetal Alchemist,completed,8,51,2012-01-30 20:17:32+00:00,573,0 days 00:01:32
Aizycran,934,Higurashi no Naku Koro ni,completed,7,26,2012-01-30 20:17:38+00:00,573,0 days 00:00:06
Aizycran,10087,Fate/Zero,completed,7,13,2012-02-01 12:37:01+00:00,573,1 days 16:19:23
Aizycran,169,Shingetsutan Tsukihime,completed,6,12,2012-02-25 13:03:31+00:00,573,24 days 00:26:30
Aizycran,7724,Shiki,completed,7,22,2012-04-22 17:41:32+00:00,573,14 days 01:23:37
Aizycran,61,D.N.Angel,completed,10,26,2012-05-07 17:36:17+00:00,573,14 days 23:54:45
