username,anime_id,anime_title,status,score,num_episodes_watched,updated_at
SheepCommander,22199,Akame ga Kill!,plan_to_watch,0,0,2023-03-17T12:00:16+00:00
SheepCommander,24833,Ansatsu Kyoushitsu,dropped,0,3,2023-03-17T23:02:01+00:00
SheepCommander,40550,Assault Lily: Bouquet,plan_to_watch,0,0,2023-03-17T11:08:12+00:00
SheepCommander,38328,Azur Lane,plan_to_watch,0,0,2023-03-17T11:16:01+00:00
SheepCommander,34636,Ballroom e Youkoso,dropped,7,2,2023-03-17T23:01:38+00:00
SheepCommander,37870,BanG Dream! 3rd Season,plan_to_watch,0,0,2023-03-17T11:04:12+00:00
SheepCommander,33184,Battle Girl High School,plan_to_watch,0,0,2023-03-17T11:37:04+00:00
SheepCommander,50248,Birdie Wing: Golf Girls' Story,plan_to_watch,0,0,2023-03-17T10:45:24+00:00
SheepCommander,40752,Bishounen Tanteidan,plan_to_watch,0,0,2023-03-17T10:57:21+00:00
SheepCommander,34618,Blend S,dropped,6,3,2023-03-17T23:01:45+00:00
SheepCommander,55357,Bocchi the Rock! Movie,plan_to_watch,0,1,2023-05-23T00:11:15+00:00
SheepCommander,31964,Boku no Hero Academia,dropped,7,12,2023-03-17T09:57:32+00:00
SheepCommander,40960,Cheat Kusushi no Slow Life: Isekai ni Tsukurou Drugstore,on_hold,7,4,2023-03-17T23:05:43+00:00
SheepCommander,3841,Chi's Sweet Home,dropped,9,12,2023-03-17T23:01:11+00:00
SheepCommander,39523,Choujin Koukousei-tachi wa Isekai demo Yoyuu de Ikinuku you desu!,dropped,7,4,2023-03-17T23:01:34+00:00
SheepCommander,18671,Chuunibyou demo Koi ga Shitai! Ren,on_hold,0,5,2023-03-17T23:05:38+00:00
SheepCommander,34382,Citrus,dropped,7,4,2023-03-12T02:22:34+00:00
SheepCommander,35756,Comic Girls,plan_to_watch,0,0,2023-03-17T11:26:16+00:00
SheepCommander,51586,D4DJ All Mix,plan_to_watch,0,0,2023-03-17T10:17:08+00:00
SheepCommander,39681,D4DJ First Mix,plan_to_watch,0,0,2023-03-17T11:08:30+00:00
SheepCommander,45782,D4DJ Petit Mix,plan_to_watch,0,0,2023-03-17T10:55:55+00:00
SheepCommander,38656,Darwin's Game,on_hold,7,4,2023-03-17T23:05:34+00:00
SheepCommander,52985,Dekoboko Majo no Oyako Jijou,dropped,8,5,2023-11-06T04:23:11+00:00
SheepCommander,29589,Denpa Kyoushi,plan_to_watch,0,0,2023-03-17T11:49:43+00:00
SheepCommander,46604,Dolls' Frontline,on_hold,7,4,2023-03-17T23:05:27+00:00
SheepCommander,37520,Dororo,on_hold,9,11,2023-03-17T23:05:22+00:00
SheepCommander,38691,Dr. Stone,on_hold,7,5,2023-03-17T23:05:17+00:00
SheepCommander,28121,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,dropped,6,5,2023-03-17T23:01:03+00:00
SheepCommander,38062,Endro~!,plan_to_watch,0,0,2023-03-17T11:10:08+00:00
SheepCommander,31706,Fate/kaleid liner Prisma☆Illya 3rei!!,on_hold,0,3,2023-03-17T23:05:13+00:00
SheepCommander,33731,Gabriel DropOut,plan_to_watch,0,0,2023-03-17T11:32:41+00:00
SheepCommander,35222,Gakuen Babysitters,plan_to_watch,0,0,2023-03-17T11:22:32+00:00
SheepCommander,41710,Genjitsu Shugi Yuusha no Oukoku Saikenki,on_hold,8,10,2023-03-17T23:05:03+00:00
SheepCommander,49930,Genjitsu Shugi Yuusha no Oukoku Saikenki Part 2,on_hold,8,4,2023-03-17T23:05:07+00:00
SheepCommander,36838,Gintama.: Shirogane no Tamashii-hen,dropped,8,9,2023-11-06T04:13:03+00:00
SheepCommander,21273,Gochuumon wa Usagi desu ka?,on_hold,8,1,2023-03-17T23:04:31+00:00
SheepCommander,40052,Great Pretender,on_hold,7,4,2023-03-17T23:04:14+00:00
SheepCommander,23539,Gudetama,dropped,6,9,2023-03-17T23:00:55+00:00
SheepCommander,20583,Haikyuu!!,dropped,7,10,2023-03-17T22:59:54+00:00
SheepCommander,48413,Hataraku Maou-sama!!,dropped,7,6,2023-03-17T23:00:39+00:00
SheepCommander,37141,Hataraku Saibou,on_hold,9,5,2023-03-17T23:04:08+00:00
SheepCommander,41694,Hataraku Saibou Black,on_hold,9,5,2023-03-17T23:04:07+00:00
SheepCommander,39586,Hataraku Saibou!!,on_hold,9,1,2023-03-17T23:04:06+00:00
SheepCommander,31500,High School Fleet,plan_to_watch,0,0,2023-03-17T11:41:33+00:00
SheepCommander,54103,Hikikomari Kyuuketsuki no Monmon,watching,10,4,2023-11-06T03:52:55+00:00
SheepCommander,33948,Hinako Note,plan_to_watch,0,0,2023-03-17T11:34:50+00:00
SheepCommander,44042,Holo no Graffiti,watching,10,207,2023-03-17T12:56:44+00:00
SheepCommander,22123,Inugami-san to Nekoyama-san,plan_to_watch,0,0,2023-03-17T11:59:18+00:00
SheepCommander,37744,Isekai Cheat Magician,dropped,6,4,2023-03-17T23:00:29+00:00
SheepCommander,38472,Isekai Quartet,plan_to_watch,0,0,2023-03-17T11:13:11+00:00
SheepCommander,39988,Isekai Quartet 2,plan_to_watch,0,0,2023-03-17T11:03:38+00:00
SheepCommander,38790,Itai no wa Iya nanode Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,plan_to_watch,9,0,2023-03-17T10:28:07+00:00
SheepCommander,39049,Jashin-chan Dropkick',plan_to_watch,0,0,2023-03-17T11:05:39+00:00
SheepCommander,39534,Jibaku Shounen Hanako-kun,on_hold,6,2,2023-03-17T11:03:00+00:00
SheepCommander,37999,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,dropped,6,4,2023-03-17T22:59:48+00:00
SheepCommander,21511,Kantai Collection: KanColle,on_hold,0,2,2023-03-17T23:04:19+00:00
SheepCommander,33089,Kemono Friends,dropped,7,9,2023-03-17T22:59:45+00:00
SheepCommander,21671,Keroro,dropped,6,4,2023-03-17T22:59:50+00:00
SheepCommander,11079,Kill Me Baby,dropped,7,3,2023-11-06T04:07:59+00:00
SheepCommander,38000,Kimetsu no Yaiba,on_hold,8,5,2023-03-17T23:04:02+00:00
SheepCommander,41834,King's Raid: Ishi wo Tsugumono-tachi,dropped,7,6,2023-03-17T11:12:21+00:00
SheepCommander,34104,Knight's & Magic,plan_to_watch,0,0,2023-03-17T11:36:17+00:00
SheepCommander,33206,Kobayashi-san Chi no Maid Dragon,dropped,7,7,2023-03-12T02:21:29+00:00
SheepCommander,34934,Koi to Uso,dropped,6,2,2023-03-17T11:35:50+00:00
SheepCommander,50631,"Komi-san wa, Comyushou desu. 2nd Season",dropped,6,4,2023-03-12T02:11:21+00:00
SheepCommander,30831,Kono Subarashii Sekai ni Shukufuku wo!,dropped,8,3,2023-03-17T09:54:02+00:00
SheepCommander,48239,Leadale no Daichi nite,on_hold,9,7,2023-03-17T23:03:55+00:00
SheepCommander,36522,Ling Qi 2,plan_to_watch,0,0,2023-03-17T11:23:53+00:00
SheepCommander,33489,Little Witch Academia (TV),plan_to_watch,0,0,2023-03-17T11:32:32+00:00
SheepCommander,17265,Log Horizon,on_hold,9,9,2023-03-17T23:03:51+00:00
SheepCommander,39071,Machikado Mazoku,plan_to_watch,0,0,2023-03-17T11:14:48+00:00
SheepCommander,40085,Maesetsu!,plan_to_watch,0,0,2023-03-17T11:11:26+00:00
SheepCommander,38256,Magia Record: Mahou Shoujo Madoka☆Magica Gaiden,plan_to_watch,0,0,2023-03-17T11:03:55+00:00
SheepCommander,41530,Magia Record: Mahou Shoujo Madoka☆Magica Gaiden 2nd Season - Kakusei Zenya,plan_to_watch,0,0,2023-03-17T11:00:02+00:00
